USER COMMAND,INSTRUCTIONS,INPUT,XML BEHAVIOR TREE OUTPUT
Build a structure using collective efforts of the swarm.,Use the following behaviors to generate XML Behavior tree based on the user command: collect_materials: Subtree node - Represents a behavior tree for collecting materials for building. construct: Subtree node - Represents a behavior tree for constructing a structure using the materials collected.,Build a structure using collective efforts of the swarm.,"
<BehaviorTree>
<Sequence>
<Action>collect_materials</Action>
<Action>construct</Action>
</Sequence>
</BehaviorTree>"
Retrieve a specific object from a hard-to-reach location.,Use the following behaviors to generate XML Behavior tree based on the user command: navigate_difficult_terrain: Action node - Executes predefined actions to navigate through difficult terrain. retrieve_object: Subtree node - Represents a behavior tree for retrieving a specific object from a hard-to-reach location.,Retrieve a specific object from a hard-to-reach location.,"
<BehaviorTree>
<Sequence>
<Action>navigate_difficult_terrain</Action>
<Action>retrieve_object</Action>
</Sequence>
</BehaviorTree>"
Perform a coordinated dance routine.,Use the following behaviors to generate XML Behavior tree based on the user command: synchronize_movement: Action node - Coordinates the movement of the robots for the dance routine. follow_sequence: Subtree node - Represents a behavior tree for following a predefined dance sequence.,Perform a coordinated dance routine.,"
<BehaviorTree>
<Sequence>
<Action>synchronize_movement</Action>
<Action>follow_sequence</Action>
</Sequence>
</BehaviorTree>"
Search and gather food resources.,Use the following behaviors to generate XML Behavior tree based on the user command: search_for_food: Subtree node - Represents a behavior tree for searching for food resources. gather_food: Action node - Executes actions to gather the food once it is found.,Search and gather food resources.,"
<BehaviorTree>
<Sequence>
<Action>search_for_food</Action>
<Action>gather_food</Action>
</Sequence>
</BehaviorTree>"
Cooperate to move a heavy object.,Use the following behaviors to generate XML Behavior tree based on the user command: coordinate_movement: Action node - Coordinates the movement of multiple robots to move a heavy object. apply_force: Subtree node - Represents a behavior tree for applying force to the object.,Cooperate to move a heavy object.,"
<BehaviorTree>
<Sequence>
<Action>coordinate_movement</Action>
<Action>apply_force</Action>
</Sequence>
</BehaviorTree>"
Monitor environmental conditions and report back.,Use the following behaviors to generate XML Behavior tree based on the user command: check_environment: Condition node - Checks for any changes in environmental conditions. report_back: Action node - Sends a report back to the starting location.,Monitor environmental conditions and report back.,"
<BehaviorTree>
<Sequence>
<Condition>check_environment</Condition>
<Action>report_back</Action>
</Sequence>
</BehaviorTree>"
"Collect resources until inventory is full. If an enemy is spotted, drop resources and attack it.",Use the following behaviors to generate XML Behavior tree based on the user command: collect_resources: Action node - Makes the agent collect nearby resources. check_inventory: Condition node - Checks if the inventory is full. drop_resources: Action node - Makes the agent drop all resources. is_enemy_near: Condition node (same as before). attack: Action node (same as before).,"Collect resources until inventory is full. If an enemy is spotted, drop resources and attack it.","
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>collect_resources</Action>
<Condition>check_inventory</Condition>
</Sequence>
<Selector>
<Condition>is_enemy_near</Condition>
<Sequence>
<Action>drop_resources</Action>
<Action>attack</Action>
</Sequence>
</Selector>
</Sequence>
</BehaviorTree>"
"Follow the leader robot and perform a formation. If the leader moves too far, catch up and resume formation.",Use the following behaviors to generate XML Behavior tree based on the user command: follow_leader: Action node - Makes the agent follow the leader robot. maintain_distance: Condition node - Checks if the distance between the leader and follower is within a certain range. catch_up: Action node - Makes the agent move faster to catch up with the leader. perform_formation: Action node - Makes the agent move in formation with the leader.,"Follow the leader robot and perform a formation. If the leader moves too far, catch up and resume formation.","
<BehaviorTree>
<Selector>
<Sequence>
<Action>follow_leader</Action>
<Condition>maintain_distance</Condition>
<Action>perform_formation</Action>
</Sequence>
<Sequence>
<Action>follow_leader</Action>
<Condition>not maintain_distance</Condition>
<Action>catch_up</Action>
<Action>perform_formation</Action>
</Sequence>
</Selector>
</BehaviorTree>"
"When in danger, activate shield. If shield has been active for more than 5 seconds, deactivate it.",Use the following behaviors to generate XML Behavior tree based on the user command: danger_detected: Condition node - Checks if the agent is in danger. activate_shield: Action node - Activates the agent's shield. shield_active_timer: Condition node - Checks if the shield has been active for 5 seconds. deactivate_shield: Action node - Deactivates the agent's shield.,"When in danger, activate shield. If shield has been active for more than 5 seconds, deactivate it.","
<BehaviorTree>
<Sequence>
<Condition>danger_detected</Condition>
<Sequence>
<Action>activate_shield</Action>
<Condition>shield_active_timer</Condition>
<Action>deactivate_shield</Action>
</Sequence>
</Sequence>
</BehaviorTree>"
"Patrol a designated area. If an enemy is spotted, pursue and attack it.",Use the following behaviors to generate XML Behavior tree based on the user command: patrol: Action node - Makes the agent patrol a designated area. is_enemy_near: Condition node - Checks if an enemy is spotted. pursue: Action node - Makes the agent pursue the enemy. attack: Action node - Makes the agent attack the enemy.,"Patrol a designated area. If an enemy is spotted, pursue and attack it.","
<BehaviorTree>
<Selector>
<Sequence>
<Condition>is_enemy_near</Condition>
<Sequence>
<Action>pursue</Action>
<Action>attack</Action>
</Sequence>
</Sequence>
<Action>patrol</Action>
</Selector>
</BehaviorTree>"
"Deliver resources to a designated location. If resources are not collected within 2 minutes, abandon and search for more.",Use the following behaviors to generate XML Behavior tree based on the user command: deliver_resources: Action node - Makes the agent deliver resources to the designated location. resources_collected_timer: Condition node - Checks if resources have been collected within 2 minutes. abandon_delivery: Action node - Abandons the delivery and starts searching for more resources.,"Deliver resources to a designated location. If resources are not collected within 2 minutes, abandon and search for more.","
<BehaviorTree>
<Sequence>
<Selector>
<Sequence>
<Action>deliver_resources</Action>
<Condition>resources_collected_timer</Condition>
</Sequence>
<Action>abandon_delivery</Action>
</Selector>
</Sequence>
</BehaviorTree>"
